Pathogen,Property,N,Mean,SD,Median,Min,Max,Mean_SD
SA,MW,1986,279.41195921450156,80.93154738256202,273.41249999999997,86.13799999999999,551.5920000000002,279.41 +/- 80.93
SA,LogP,1986,3.2825134038267896,1.4783000463908176,3.206550000000002,-1.3161999999999994,8.180000000000005,3.28 +/- 1.48
SA,TPSA,1986,32.08047834843907,18.344349121952927,30.49,0.0,93.44999999999999,32.08 +/- 18.34
SA,HBD,1986,0.9118831822759316,0.9225906894725334,1.0,0.0,5.0,0.91 +/- 0.92
SA,HBA,1986,3.213997985901309,1.7823725246481517,3.0,0.0,8.0,3.21 +/- 1.78
SA,RotBonds,1986,4.167673716012085,3.125676926386519,3.0,0.0,16.0,4.17 +/- 3.13
SA,Rings,1986,3.4224572004028198,1.100162206694453,3.0,1.0,8.0,3.42 +/- 1.10
SA,Fsp3,1986,0.36371237688627783,0.24935249470149964,0.34782608695652173,0.0,1.0,0.36 +/- 0.25
EC,MW,452,268.73239380530975,78.35290631034023,259.83900000000006,98.149,519.8000000000004,268.73 +/- 78.35
EC,LogP,452,2.6279595132743374,1.505447183918399,2.644550000000001,-1.1840999999999997,7.783800000000007,2.63 +/- 1.51
EC,TPSA,452,37.69006637168142,17.818632385350927,37.05,0.0,101.4,37.69 +/- 17.82
EC,HBD,452,1.1924778761061947,0.9560803489538887,1.0,0.0,4.0,1.19 +/- 0.96
EC,HBA,452,3.7942477876106193,1.784302732166621,4.0,0.0,8.0,3.79 +/- 1.78
EC,RotBonds,452,4.152654867256637,2.757158316567048,4.0,0.0,11.0,4.15 +/- 2.76
EC,Rings,452,3.1969026548672566,0.9712903887755441,3.0,1.0,7.0,3.20 +/- 0.97
EC,Fsp3,452,0.3521093116830233,0.22581894439160835,0.3333333333333333,0.0,1.0,0.35 +/- 0.23
CA,MW,1100,267.5371981818182,79.75290022075815,260.82349999999997,74.07900000000001,567.6540000000003,267.54 +/- 79.75
CA,LogP,1100,2.8107673636363653,1.4412114076011822,2.8847500000000013,-1.352599999999999,8.649100000000004,2.81 +/- 1.44
CA,TPSA,1100,37.113890909090905,23.478716626715098,31.220000000000002,0.0,122.98,37.11 +/- 23.48
CA,HBD,1100,0.6254545454545455,0.8368705912308284,0.0,0.0,4.0,0.63 +/- 0.84
CA,HBA,1100,3.689090909090909,2.2141223232553484,3.0,0.0,12.0,3.69 +/- 2.21
CA,RotBonds,1100,4.265454545454546,2.6849235789619006,4.0,0.0,14.0,4.27 +/- 2.68
CA,Rings,1100,3.227272727272727,1.028785788455297,3.0,1.0,7.0,3.23 +/- 1.03
CA,Fsp3,1100,0.40703299080507394,0.2973112578540861,0.3,0.0,1.0,0.41 +/- 0.30
